image_path,Oil_leakage_score,Corrosion_score,Rust_score,Paint_fading_score,Bushing_cracks_score,Broken_connectors_score,Insulator_contamination_score,Burnt_marks_/_overheating_score,Deformed_tank_/_bent_fins_score,Loose_or_unsafe_wiring_score,Dust_accumulation_score,Gasket_leakage_score,Damaged_or_bent_pole_structure_score,Overall_Health_Index
E:\anas\uni\semester 7\fyp\fyp work\transformer_health_index\data\raw\images\4570.jpg,1,5,5,0,1,4,0,4,1,5,1,1,4,26
E:\anas\uni\semester 7\fyp\fyp work\transformer_health_index\data\raw\images\520.jpg,1,2,3,3,3,3,3,1,3,1,1,1,6,32
E:\anas\uni\semester 7\fyp\fyp work\transformer_health_index\data\raw\images\3055.jpg,3,1,1,1,1,1,6,1,1,6,1,1,1,25
E:\anas\uni\semester 7\fyp\fyp work\transformer_health_index\data\raw\images\2626.jpg,3,1,1,6,6,1,3,1,1,6,1,1,1,32
E:\anas\uni\semester 7\fyp\fyp work\transformer_health_index\data\raw\images\3130.jpg,3,1,1,1,1,1,6,1,1,6,1,1,1,25
E:\anas\uni\semester 7\fyp\fyp work\transformer_health_index\data\raw\images\3853.jpg,1,3,3,3,3,5,3,1,3,1,1,1,6,30
E:\anas\uni\semester 7\fyp\fyp work\transformer_health_index\data\raw\images\182.jpg,4,1,1,1,3,3,3,1,1,4,2,4,6,35
E:\anas\uni\semester 7\fyp\fyp work\transformer_health_index\data\raw\images\3864.jpg,1,3,3,3,3,5,3,1,3,1,1,1,6,30
E:\anas\uni\semester 7\fyp\fyp work\transformer_health_index\data\raw\images\4182.jpg,3,1,0,0,3,2,3,0,4,4,3,2,3,24
E:\anas\uni\semester 7\fyp\fyp work\transformer_health_index\data\raw\images\3290.jpg,3,1,1,1,1,1,3,1,1,6,1,1,1,22
E:\anas\uni\semester 7\fyp\fyp work\transformer_health_index\data\raw\images\3827.jpg,1,3,3,3,3,5,3,1,3,1,1,1,6,30
E:\anas\uni\semester 7\fyp\fyp work\transformer_health_index\data\raw\images\3426.jpg,3,1,1,1,1,1,6,1,1,6,1,1,1,25
E:\anas\uni\semester 7\fyp\fyp work\transformer_health_index\data\raw\images\2345.jpg,3,3,3,1,6,1,1,1,1,6,1,1,1,29
E:\anas\uni\semester 7\fyp\fyp work\transformer_health_index\data\raw\images\3355.jpg,3,1,1,1,1,1,6,1,1,6,1,1,1,25
E:\anas\uni\semester 7\fyp\fyp work\transformer_health_index\data\raw\images\2894.jpg,3,1,1,6,6,1,6,1,1,6,1,1,1,35
E:\anas\uni\semester 7\fyp\fyp work\transformer_health_index\data\raw\images\238.jpg,6,3,3,3,3,5,3,3,3,4,2,6,6,46
E:\anas\uni\semester 7\fyp\fyp work\transformer_health_index\data\raw\images\1469.jpg,1,0,3,3,2,4,5,1,0,0,1,5,0,49
E:\anas\uni\semester 7\fyp\fyp work\transformer_health_index\data\raw\images\113.jpg,6,3,3,3,3,3,3,3,3,4,2,6,6,48
